INSTANCE:	A-n60-k19
VEHICLES:	19
CUSTOMERS:	60
TIME UB:	849
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     52		     82		       4	        0	   849
       1	     21		     19		       5	        0	   849
       2	     88		     58		       4	        1	    59
       3	     66		     42		       4	        1	    85
       4	     23		     85		       5	        0	   849
       5	     95		     38		       4	        4	    76
       6	     14		      9		       5	        0	   849
       7	     52		     82		       4	        0	   849
       8	     69		     35		       4	        1	    81
       9	     69		     76		       5	        1	    31
      10	     40		      1		       4	        2	   112
      11	     36		     93		       5	        0	   849
      12	     77		     18		       5	        0	   849
      13	    100		     61		       4	        0	   849
      14	     31		     11		       5	        0	   849
      15	     11		     85		       4	        0	   849
      16	     75		     92		       4	        0	   849
      17	     83		     34		       4	        1	    96
      18	     87		     11		       5	        0	   849
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     92		     92		     0		   849
       1	     70		      6		     1		   333
       2	     57		     59		     4		   169
       3	      0		     98		     1		   280
       4	     61		     38		     1		   193
       5	     65		     22		     4		   267
       6	     91		     52		     1		   129
       7	     59		      2		     1		   226
       8	      3		     54		     1		   335
       9	     80		     28		     2		   156
      10	     79		     74		     3		    54
      11	     99		     25		     1		   138
      12	     20		     43		     1		   290
      13	     40		      3		     3		   335
      14	     50		     42		     3		   197
      15	     97		      0		     2		   337
      16	     36		     21		     1		   282
      17	     69		     22		     2		   283
      18	     29		     35		     1		   258
      19	     50		     33		     1		   263
      20	     89		     17		     1		   255
      21	     57		     44		     1		   172
      22	     60		     25		     1		   181
      23	     48		     42		     1		   262
      24	     17		     93		     2		   290
      25	     21		     50		     2		   264
      26	      2		      4		     1		   379
      27	     63		     83		     3		    77
      28	     68		      6		     5		   310
      29	     41		     95		     2		   119
      30	     48		     54		     1		   215
      31	     98		     73		     3		    72
      32	     26		     38		     2		   175
      33	     65		     41		     1		   126
      34	     14		     86		     1		   308
      35	     32		     39		     3		   220
      36	     14		     24		     2		   207
      37	     96		      5		     1		   264
      38	     82		     98		     3		    40
      39	     63		     69		     4		   127
      40	     87		     19		     4		   186
      41	     56		     75		     1		    91
      42	     15		     63		     2		   274
      43	     10		     45		     1		   319
      44	      7		     30		     1		   416
      45	     50		     31		     2		   231
      46	     49		     52		     1		   140
      47	     39		     10		     2		   224
      48	     76		     40		     1		   216
      49	     33		     51		     1		   168
      50	      0		     15		     2		   427
      51	     46		      6		     1		   239
      52	      3		     26		     3		   307
      53	     46		     80		     2		   166
      54	     94		     30		     1		   230
      55	     26		     76		     2		   151
      56	     57		     51		     1		   131
      57	     34		     21		     1		   186
      58	     28		     80		     3		   196
      59	     59		     66		     2		   129
      60	     51		     16		     2		   251
