INSTANCE:	B-n42-k13
VEHICLES:	13
CUSTOMERS:	42
TIME UB:	841
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	      8		     12		       4	        2	   119
       1	     94		     24		       5	        0	   841
       2	     94		     56		       5	        0	   841
       3	     10		     12		       4	        2	   160
       4	     39		     27		       4	        1	    65
       5	     82		     30		       5	        1	    20
       6	     90		     64		       4	        0	   841
       7	     98		     58		       5	        0	   841
       8	     31		     27		       4	        1	    99
       9	     79		     25		       4	        2	    36
      10	     80		    100		       5	        0	   841
      11	     31		     21		       5	        2	    69
      12	     84		     30		       5	        2	    28
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     87		     45		     0		   841
       1	     93		     41		     1		    16
       2	     75		     95		     2		   184
       3	     89		     55		     1		    20
       4	     89		     19		     2		    94
       5	     21		      9		     2		   268
       6	     81		     31		     1		    54
       7	     30		     18		     1		   210
       8	      5		      5		     4		   268
       9	     84		     98		     1		   181
      10	     10		      8		     3		   217
      11	     90		     58		     2		    47
      12	     24		     16		     2		   215
      13	     80		     26		     2		    58
      14	     96		     42		     1		    27
      15	     28		     18		     1		   204
      16	     37		     23		     1		   114
      17	     78		    104		     1		   136
      18	     98		     26		     1		    55
      19	      8		     12		     2		   191
      20	     82		     38		     1		    26
      21	     94		     44		     2		    24
      22	     30		     16		     2		   212
      23	     84		     28		     3		    50
      24	     76		     96		     2		   193
      25	     76		    102		     1		   182
      26	     76		     96		     4		   112
      27	    100		     44		     1		    46
      28	     84		     26		     1		    60
      29	      6		     12		     3		   285
      30	     90		     24		     1		    66
      31	     26		     12		     1		   214
      32	     86		     28		     1		    37
      33	     24		     16		     2		   215
      34	     84		     30		     1		    54
      35	     33		     19		     1		   156
      36	     90		     28		     1		    55
      37	     94		     50		     2		    18
      38	     92		     60		     1		    43
      39	     24		     16		     1		   198
      40	     94		     42		     1		    32
      41	     82		     32		     2		    34
      42	     76		     96		     2		   133
