INSTANCE:	E-n24-k8
VEHICLES:	8
CUSTOMERS:	24
TIME UB:	993
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	    314		    406		       4	        0	   993
       1	    324		    433		       5	        2	   123
       2	    322		    437		       4	        1	   125
       3	    298		    427		       4	        0	   993
       4	    296		    418		       5	        1	   142
       5	    321		    437		       5	        0	   993
       6	    293		    421		       5	        0	   993
       7	    311		    442		       5	        0	   993
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    292		    495		     0		   993
       1	    309		    445		     2		   145
       2	    307		    464		     2		   124
       3	    336		    475		     3		   157
       4	    320		    439		     2		   239
       5	    323		    433		     1		   237
       6	    323		    429		     1		   205
       7	    314		    435		     3		   129
       8	    304		    427		     3		   213
       9	    261		    384		     4		   244
      10	    297		    410		     1		   336
      11	    315		    407		     1		   201
      12	    321		    391		     1		   236
      13	    321		    398		     1		   278
      14	    314		    394		     2		   324
      15	    313		    378		     1		   409
      16	    304		    382		     1		   405
      17	    295		    402		     2		   289
      18	    283		    406		     1		   238
      19	    279		    399		     1		   371
      20	    271		    401		     2		   289
      21	    264		    414		     2		   225
      22	    277		    439		     3		   189
      23	    290		    434		     1		   143
      24	    319		    433		     2		   212
