INSTANCE:	F-n54-k17
VEHICLES:	17
CUSTOMERS:	54
TIME UB:	433
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	      2		     21		       4	        0	   433
       1	    -15		      5		       4	        0	   433
       2	    -12		      6		       5	        2	    23
       3	    -12		     -6		       5	        1	    16
       4	    -15		     -5		       4	        1	    20
       5	      1		    -21		       4	        0	   433
       6	     -1		     24		       5	        0	   433
       7	     -5		     18		       4	        0	   433
       8	     -8		     -2		       5	        0	   433
       9	      1		     22		       5	        2	    27
      10	    -20		     10		       4	        0	   433
      11	    -14		     -4		       5	        0	   433
      12	      1		     10		       4	        2	    18
      13	      2		      9		       4	        0	   433
      14	     -1		    -17		       5	        1	    17
      15	    -15		     -9		       4	        2	    33
      16	    -11		      3		       5	        0	   433
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	      0		      0		     0		   433
       1	     -1		    -18		     2		    47
       2	      2		    -21		     1		    52
       3	     -9		    -12		     1		    59
       4	      2		    -22		     2		    77
       5	      7		    -25		     1		    90
       6	     -7		    -17		     1		    43
       7	    -11		     -5		     1		    27
       8	    -14		     -9		     1		    51
       9	    -14		     -8		     1		    41
      10	    -11		     -2		     3		    38
      11	    -14		     -5		     2		    57
      12	    -15		     -8		     1		    62
      13	     -9		     -6		     1		    29
      14	      3		      6		     4		    28
      15	      5		      9		     1		    40
      16	      5		     10		     1		    34
      17	      2		      8		     1		    29
      18	      1		      9		     2		    24
      19	      6		     14		     1		    37
      20	      5		     12		     4		    48
      21	      3		      7		     1		    24
      22	      4		      8		     2		    32
      23	     -6		      1		     3		    16
      24	     -6		      2		     1		    23
      25	     -7		      2		     1		    27
      26	     -7		     -3		     1		    23
      27	     -7		     -2		     2		    24
      28	    -20		     12		     3		    61
      29	    -20		     13		     1		    95
      30	    -12		     10		     2		    48
      31	    -20		     15		     1		    85
      32	     -6		      8		     1		    27
      33	      2		     22		     1		    81
      34	      1		     21		     3		    55
      35	     -2		     20		     2		    64
      36	     -2		     21		     1		    54
      37	     -4		     18		     2		    40
      38	     -4		     19		     2		    58
      39	     -5		     26		     1		    91
      40	      1		     23		     1		    74
      41	     -6		      5		     1		    19
      42	     -6		      6		     1		    25
      43	     -9		      6		     1		    24
      44	     -9		      7		     1		    31
      45	    -12		      5		     3		    42
      46	    -11		      4		     2		    33
      47	    -14		      4		     2		    55
      48	    -14		      5		     2		    43
      49	    -15		      4		     1		    40
      50	    -16		      7		     1		    56
      51	    -16		      8		     1		    62
      52	    -15		     10		     1		    56
      53	     -5		     19		     4		    60
      54	     -9		    -11		     3		    44
