INSTANCE:	M-n90-k30
VEHICLES:	30
CUSTOMERS:	90
TIME UB:	798
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     89		     43		       4	        0	   798
       1	     18		     41		       4	        0	   798
       2	     25		     37		       5	        0	   798
       3	     87		     80		       5	        1	   125
       4	     79		      3		       4	        2	   119
       5	     25		     52		       5	        1	    25
       6	     35		      5		       5	        1	    48
       7	     25		      1		       5	        0	   798
       8	     73		      8		       5	        0	   798
       9	     24		     36		       5	        0	   798
      10	     46		     89		       5	        0	   798
      11	     85		     85		       5	        1	   135
      12	     86		     46		       4	        2	   122
      13	     31		      5		       4	        0	   798
      14	     94		     86		       4	        2	   110
      15	     87		     86		       5	        1	   158
      16	     90		     88		       5	        0	   798
      17	     10		     40		       5	        0	   798
      18	     85		     55		       4	        0	   798
      19	     54		     86		       4	        3	    98
      20	     20		     50		       4	        1	    14
      21	     37		     83		       4	        1	    88
      22	     16		     48		       4	        3	    10
      23	     82		      3		       5	        0	   798
      24	     34		      6		       4	        0	   798
      25	     96		     42		       5	        1	   120
      26	     89		     46		       5	        0	   798
      27	     90		     15		       5	        0	   798
      28	     95		     80		       5	        2	   134
      29	     87		      5		       4	        0	   798
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     10		     45		     0		   798
       1	     25		      3		     1		   143
       2	     32		      5		     2		   130
       3	     31		      7		     1		   158
       4	     32		      9		     5		    92
       5	     34		      9		     1		   110
       6	     46		      9		     3		   169
       7	     35		      7		     1		   152
       8	     47		      6		     1		   212
       9	     40		      5		     1		   191
      10	     39		      3		     2		   142
      11	     36		      3		     3		   104
      12	     73		      6		     3		   197
      13	     76		      6		     2		   215
      14	     76		     10		     1		   246
      15	     76		     13		     5		   246
      16	     78		      3		     2		   192
      17	     78		      9		     1		   165
      18	     79		      5		     1		   188
      19	     79		     11		     3		   261
      20	     82		      7		     1		   167
      21	     84		      3		     1		   248
      22	     84		      5		     2		   265
      23	     84		      9		     1		   243
      24	     85		      1		     1		   274
      25	     85		      8		     2		   179
      26	     87		      7		     1		   330
      27	     86		     41		     2		   300
      28	     86		     44		     2		   226
      29	     89		     52		     2		   239
      30	     92		     42		     3		   250
      31	     92		     52		     2		   305
      32	     94		     42		     1		   273
      33	     94		     44		     1		   311
      34	     94		     48		     1		   200
      35	     99		     46		     1		   181
      36	     99		     50		     1		   341
      37	     83		     80		     1		   179
      38	     83		     83		     1		   181
      39	     85		     81		     1		   210
      40	     85		     89		     3		   223
      41	     90		     77		     2		   334
      42	     93		     82		     2		   343
      43	     93		     84		     2		   188
      44	     93		     89		     3		   219
      45	     99		     89		     1		   365
      46	     50		     80		     1		   176
      47	     35		     85		     2		   118
      48	     35		     87		     1		   145
      49	     44		     86		     2		   143
      50	     46		     83		     1		   115
      51	     46		     87		     2		   148
      52	     46		     89		     2		   191
      53	     48		     83		     1		   158
      54	     50		     85		     1		   223
      55	     50		     88		     3		   168
      56	     54		     90		     1		   126
      57	     10		     35		     3		    23
      58	     18		     30		     1		    58
      59	     17		     35		     2		    36
      60	     16		     38		     2		    21
      61	     14		     40		     1		    24
      62	     15		     42		     2		    21
      63	     11		     42		     2		    11
      64	     18		     40		     2		    22
      65	     21		     39		     2		    26
      66	     20		     40		     1		    26
      67	     20		     44		     1		    26
      68	     22		     44		     2		    33
      69	     16		     45		     1		    15
      70	     20		     45		     1		    38
      71	     25		     45		     1		    52
      72	     30		     55		     1		    76
      73	     22		     51		     2		    40
      74	     18		     49		     4		    33
      75	     20		     55		     2		    33
      76	     18		     53		     4		    29
      77	     14		     50		     1		    15
      78	     15		     51		     2		    20
      79	     16		     54		     3		    43
      80	     28		     33		     1		    53
      81	     33		     38		     2		    58
      82	     30		     50		     2		    79
      83	     13		     40		     1		    22
      84	     15		     36		     2		    24
      85	     18		     31		     3		    64
      86	     30		     46		     1		    43
      87	     16		     33		     2		    46
      88	     25		     35		     3		    68
      89	      5		     40		     3		    21
      90	      5		     50		     1		    14
