INSTANCE:	P-n17-k5
VEHICLES:	5
CUSTOMERS:	17
TIME UB:	357
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	     37		     52		       5	        0	   357
       1	     42		     57		       4	        0	   357
       2	     31		     62		       4	        2	    25
       3	     62		     42		       5	        0	   357
       4	     61		     33		       4	        0	   357
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	     30		     40		     0		   357
       1	     49		     49		     1		    60
       2	     52		     64		     1		    85
       3	     52		     33		     2		    89
       4	     42		     41		     2		    26
       5	     52		     41		     2		    67
       6	     57		     58		     2		    73
       7	     27		     68		     1		    72
       8	     43		     67		     3		   110
       9	     58		     48		     3		    87
      10	     58		     27		     1		    67
      11	     37		     69		     3		    89
      12	     38		     46		     2		    24
      13	     62		     63		     1		   127
      14	     63		     69		     2		   119
      15	     45		     35		     2		    47
      16	     32		     39		     3		     8
      17	     56		     37		     1		    99
