INSTANCE:	V15_C75
VEHICLES:	15
CUSTOMERS:	75
TIME UB:	14143
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	    706		    816		       4	        3	  1257
       1	    241		    344		       4	        2	  1924
       2	    202		     44		       4	        0	 14143
       3	    443		    572		       4	        2	   824
       4	    968		    146		       4	        0	 14143
       5	    982		    719		       4	        0	 14143
       6	    467		    345		       4	        0	 14143
       7	    696		    457		       4	        0	 14143
       8	    268		    976		       4	        0	 14143
       9	    216		    782		       4	        0	 14143
      10	     99		    844		       4	        0	 14143
      11	    140		    555		       4	        0	 14143
      12	    521		    942		       4	        1	  1935
      13	    889		     18		       4	        0	 14143
      14	    936		    890		       4	        0	 14143
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    932		    693		     0		 14143
       1	    326		    390		     1		  2610
       2	    432		    231		     1		  2805
       3	    224		    534		     3		  2972
       4	    663		    945		     2		  2371
       5	    935		    331		     1		  1732
       6	    229		    909		     1		  1354
       7	     96		    467		     1		  2265
       8	    589		    968		     2		  1398
       9	    420		    764		     4		  1288
      10	    913		    784		     1		  1754
      11	    793		    361		     1		  2714
      12	    949		    588		     1		  1350
      13	    469		    248		     2		  2620
      14	     71		    800		     1		  2896
      15	     80		    258		     1		  1234
      16	    111		    673		     1		  1884
      17	    787		     75		     3		  2451
      18	    256		    247		     1		  2413
      19	    787		    358		     1		  2261
      20	    625		    172		     1		  1323
      21	    194		    260		     1		  2724
      22	     15		    202		     1		  2233
      23	    667		     39		     1		  2191
      24	    657		    343		     1		  1189
      25	     67		    468		     1		  1262
      26	     97		    417		     1		  1507
      27	    845		    900		     3		  2567
      28	    376		     88		     1		  2631
      29	    775		    624		     1		  2054
      30	    618		    349		     1		  1863
      31	    569		     25		     1		  2728
      32	    841		    773		     1		  2621
      33	    937		    422		     1		  1926
      34	     49		    977		     1		  2037
      35	    923		    775		     2		  2806
      36	    161		    869		     1		  1997
      37	    542		    566		     1		  1735
      38	    605		    339		     1		  1909
      39	    486		    855		     1		  1257
      40	    127		    413		     2		  1748
      41	    476		    872		     1		  1743
      42	    594		    914		     1		  2079
      43	    941		    354		     4		  1634
      44	     54		    725		     1		  1573
      45	    725		    814		     1		  1904
      46	    138		    998		     1		  2681
      47	    515		    457		     1		  2901
      48	    330		    200		     1		  1480
      49	    690		    258		     1		  2270
      50	    551		    382		     1		  2458
      51	    456		     71		     1		  2162
      52	     68		    693		     1		  1747
      53	    232		     56		     2		  2386
      54	    910		    465		     1		  2089
      55	    730		    998		     1		  1346
      56	    790		    403		     1		  1296
      57	     53		    210		     4		  1692
      58	    521		    409		     3		  2855
      59	    885		    261		     1		  2586
      60	    519		    202		     1		  1666
      61	    319		    261		     1		  2405
      62	    741		    306		     1		  2923
      63	    185		    457		     1		  2201
      64	    515		    283		     1		  1329
      65	    108		    639		     1		  1291
      66	    442		    858		     1		  1648
      67	    885		     24		     1		  1040
      68	    430		    465		     2		  2255
      69	    135		    617		     1		  2983
      70	    822		    475		     1		  2116
      71	    384		    661		     2		  2808
      72	    331		    205		     1		  2713
      73	    754		    935		     1		  2261
      74	    354		    996		     1		  1136
      75	    695		    829		     1		  1224
