INSTANCE:	X-n449-k149
VEHICLES:	149
CUSTOMERS:	449
TIME UB:	8486
VEHICLE SECTION
VEH. NO.	X_COORD		Y_COORD		CAPACITY	OCCUPANCY	Arr. T
       0	    579		    761		       5	        1	   742
       1	     51		    330		       4	        0	  8486
       2	    680		    133		       5	        0	  8486
       3	    762		    474		       5	        0	  8486
       4	    750		    956		       4	        2	  1769
       5	    985		     82		       5	        0	  8486
       6	    614		    647		       4	        0	  8486
       7	     45		    383		       4	        0	  8486
       8	    414		    218		       5	        2	   268
       9	    966		    681		       5	        1	  1507
      10	    465		    898		       4	        1	  1326
      11	    279		    467		       5	        0	  8486
      12	    113		    924		       5	        3	   969
      13	    787		    445		       4	        0	  8486
      14	    312		    212		       5	        3	    63
      15	    257		    878		       4	        0	  8486
      16	    905		    177		       5	        0	  8486
      17	    313		    752		       5	        0	  8486
      18	    874		    746		       5	        0	  8486
      19	    185		     51		       5	        0	  8486
      20	    166		    518		       5	        0	  8486
      21	    553		    946		       4	        0	  8486
      22	    481		     40		       4	        1	   415
      23	    659		    265		       5	        0	  8486
      24	    908		    695		       4	        1	  1413
      25	    489		    840		       5	        1	  1229
      26	    517		    759		       4	        0	  8486
      27	    894		    188		       4	        0	  8486
      28	   1000		    804		       4	        0	  8486
      29	    402		    101		       4	        1	   156
      30	    704		     21		       4	        1	   576
      31	     32		    554		       5	        1	   613
      32	    519		    563		       5	        0	  8486
      33	    881		    106		       5	        2	   723
      34	    892		    721		       5	        0	  8486
      35	    454		    629		       5	        2	   785
      36	    491		    337		       4	        0	  8486
      37	    141		    463		       5	        0	  8486
      38	    700		     96		       5	        0	  8486
      39	    763		    566		       5	        2	  1244
      40	    483		    894		       4	        0	  8486
      41	      5		    980		       5	        0	  8486
      42	    580		    243		       4	        0	  8486
      43	    202		    781		       5	        4	   867
      44	    146		    433		       5	        0	  8486
      45	    852		    979		       4	        1	  1763
      46	    749		    655		       5	        0	  8486
      47	    852		    486		       4	        2	   972
      48	    223		    860		       4	        0	  8486
      49	    478		     14		       5	        0	  8486
      50	    294		    353		       5	        0	  8486
      51	    431		    871		       4	        0	  8486
      52	    537		    349		       5	        1	   356
      53	    632		    672		       4	        0	  8486
      54	    746		    100		       4	        1	   703
      55	    541		    185		       4	        0	  8486
      56	    206		    306		       5	        0	  8486
      57	     19		    292		       4	        0	  8486
      58	    980		    136		       4	        1	  1167
      59	    975		    611		       5	        0	  8486
      60	    928		    132		       4	        2	  1121
      61	    513		    311		       5	        1	   377
      62	    671		    300		       5	        1	   441
      63	    623		    116		       4	        0	  8486
      64	    396		    428		       4	        1	   444
      65	    251		    775		       4	        0	  8486
      66	    631		    533		       4	        0	  8486
      67	    811		    272		       5	        0	  8486
      68	    446		    332		       4	        0	  8486
      69	    345		    130		       4	        0	  8486
      70	    425		    490		       5	        0	  8486
      71	    552		    186		       5	        0	  8486
      72	    310		    305		       4	        0	  8486
      73	    154		    175		       5	        0	  8486
      74	    729		    124		       4	        2	   534
      75	    915		    680		       5	        1	  1468
      76	    461		    582		       4	        1	   650
      77	    293		    866		       4	        0	  8486
      78	    325		    148		       4	        2	    50
      79	    592		    581		       4	        0	  8486
      80	    911		    283		       4	        0	  8486
      81	    493		    282		       4	        0	  8486
      82	    675		    144		       4	        1	   427
      83	    557		    176		       5	        1	   508
      84	    992		    698		       4	        0	  8486
      85	    275		    165		       5	        2	    15
      86	    314		    736		       5	        1	   599
      87	    870		    159		       5	        3	   711
      88	    410		    713		       4	        2	  1070
      89	    836		     71		       4	        2	  1029
      90	    761		    901		       5	        0	  8486
      91	    965		    683		       4	        0	  8486
      92	    945		    808		       4	        0	  8486
      93	     20		    349		       5	        4	   449
      94	    849		    833		       4	        0	  8486
      95	    554		    771		       5	        0	  8486
      96	    461		    280		       4	        1	   386
      97	    634		     37		       5	        1	   392
      98	    489		    197		       5	        1	   212
      99	    759		    542		       5	        1	   647
     100	    932		    515		       4	        1	  1286
     101	    252		    839		       5	        2	   837
     102	    914		    373		       4	        0	  8486
     103	    869		    714		       5	        1	  1064
     104	    907		    240		       5	        2	  1071
     105	     10		    249		       5	        2	   368
     106	    391		    304		       5	        3	   180
     107	    706		    865		       4	        0	  8486
     108	    658		     81		       5	        0	  8486
     109	    177		    160		       5	        0	  8486
     110	    520		    642		       5	        0	  8486
     111	    380		    424		       5	        2	   441
     112	     50		    301		       5	        2	   414
     113	    962		    264		       4	        1	   836
     114	    950		     63		       4	        0	  8486
     115	    300		    380		       4	        3	   272
     116	     15		    407		       5	        2	   629
     117	    554		    594		       4	        0	  8486
     118	     20		    964		       4	        2	  1405
     119	    188		    558		       4	        0	  8486
     120	    956		    106		       5	        0	  8486
     121	    191		    553		       5	        2	   436
     122	    624		    942		       5	        1	  1336
     123	    712		    144		       5	        1	   699
     124	    122		     50		       5	        4	   399
     125	    825		    911		       5	        1	   937
     126	    944		    597		       4	        0	  8486
     127	    888		    609		       4	        2	   991
     128	    876		    277		       4	        2	  1195
     129	    539		    149		       4	        0	  8486
     130	    293		    435		       5	        1	   463
     131	     13		    308		       5	        0	  8486
     132	    122		     60		       5	        0	  8486
     133	    964		    397		       5	        1	  1346
     134	    970		    276		       5	        1	  1195
     135	    996		    771		       5	        0	  8486
     136	    196		    287		       5	        1	   157
     137	    186		     96		       5	        0	  8486
     138	    158		    386		       4	        1	   324
     139	    454		    957		       4	        1	  1239
     140	     73		    559		       4	        0	  8486
     141	    898		    974		       5	        1	  1416
     142	    826		    687		       5	        0	  8486
     143	    694		     30		       4	        1	   639
     144	    825		    540		       5	        1	   935
     145	    281		    999		       4	        0	  8486
     146	    220		    763		       5	        1	   788
     147	    194		    274		       5	        0	  8486
     148	    825		     86		       4	        4	   758
CUSTOMER SECTION
CUST. NO.	X_COORD		Y_COORD		DEMAND		Arr. T
       0	    284		    167		     0		  8486
       1	      6		    711		     1		  1648
       2	    733		    189		     3		  1278
       3	    336		     29		     1		   520
       4	    488		    684		     2		  1698
       5	    825		    903		     2		  3634
       6	     98		    412		     3		   623
       7	    497		    641		     2		  1282
       8	    499		    745		     2		  2061
       9	    500		    390		     2		   988
      10	    851		    268		     3		  1282
      11	     51		    278		     1		   904
      12	    805		    796		     2		  2433
      13	    576		    984		     1		  2046
      14	    734		    251		     1		  1439
      15	    325		    414		     4		   613
      16	    124		    148		     1		   405
      17	    645		    168		     1		   735
      18	      4		    965		     1		  2202
      19	    614		    267		     1		  1038
      20	    939		    719		     1		  2410
      21	    935		    800		     3		  2918
      22	    109		    154		     2		   391
      23	     31		    554		     1		  1548
      24	    960		    512		     3		  2136
      25	    377		    684		     1		  1516
      26	    720		    165		     1		  1233
      27	    226		     34		     1		   389
      28	     73		    255		     2		   601
      29	    748		    344		     3		  1065
      30	    774		    514		     3		  2334
      31	    143		    893		     1		  2098
      32	    168		    461		     2		   974
      33	    164		    493		     2		  1360
      34	    815		    191		     3		  1734
      35	    833		    284		     1		  2102
      36	    894		    472		     2		  1521
      37	    371		     28		     2		   364
      38	    610		    541		     3		  1576
      39	    578		    665		     3		  1191
      40	    274		    972		     1		  2059
      41	    610		    738		     1		  2399
      42	    773		    602		     4		  2544
      43	    752		     74		     2		  1672
      44	    729		     90		     3		  1137
      45	    464		    658		     2		  1672
      46	     70		     36		     1		   975
      47	    388		    732		     2		  1802
      48	     45		    437		     1		  1080
      49	    910		    738		     1		  2459
      50	    956		    879		     1		  2126
      51	    318		    560		     2		  1560
      52	    592		    913		     1		  1824
      53	    642		    564		     1		  1946
      54	     88		    186		     5		   434
      55	    399		    931		     1		  2233
      56	    763		    180		     4		  1847
      57	    626		    876		     2		  2071
      58	    302		    689		     2		  1174
      59	    970		    490		     1		  2083
      60	    775		    574		     1		  1637
      61	    653		    667		     1		  2088
      62	    813		    999		     1		  3242
      63	    557		    816		     1		  2600
      64	    131		    722		     1		  1430
      65	     45		    101		     1		   795
      66	    306		    260		     1		   216
      67	    627		     26		     5		  1081
      68	    771		    398		     3		  1796
      69	    869		    585		     1		  1478
      70	    985		    939		     1		  3329
      71	    194		    262		     1		   474
      72	    834		    844		     4		  3286
      73	      1		    651		     2		  1404
      74	    271		    893		     1		  2732
      75	    163		    503		     3		  1007
      76	    923		    502		     2		  2358
      77	      2		    469		     1		  1030
      78	    103		    284		     3		   788
      79	     51		    883		     2		  1738
      80	     63		    181		     1		   583
      81	    784		    300		     2		  1773
      82	    212		    774		     2		  2305
      83	    138		     90		     1		   658
      84	    532		    999		     3		  3019
      85	    160		    179		     2		   272
      86	    743		    949		     2		  2522
      87	    439		    328		     1		   466
      88	     15		    591		     1		  1910
      89	      2		    546		     3		  1436
      90	    128		    984		     1		  1791
      91	    131		    737		     3		  1861
      92	    214		    591		     1		   961
      93	    969		    497		     1		  2804
      94	    367		     77		     1		   401
      95	    925		    640		     1		  3182
      96	    160		    288		     2		   526
      97	    771		    912		     3		  3492
      98	    162		     80		     1		   421
      99	    252		    140		     4		   152
     100	    980		    560		     1		  2573
     101	    896		    344		     3		  1707
     102	    566		    389		     1		   879
     103	    892		    149		     1		  1573
     104	     20		    663		     1		  2136
     105	    405		    859		     2		  1711
     106	    475		    920		     2		  1585
     107	    649		    458		     1		  1518
     108	    480		    756		     1		  2397
     109	    835		     65		     1		  1598
     110	    407		    973		     3		  2567
     111	    447		    697		     3		  1983
     112	    363		    808		     2		  2166
     113	     82		    623		     2		  1577
     114	    344		    837		     1		  2444
     115	    249		    926		     3		  2047
     116	     22		     95		     3		   597
     117	    789		    664		     1		  2597
     118	    110		    741		     2		  2266
     119	    378		    573		     1		  1505
     120	    606		    838		     2		  1835
     121	    583		    717		     1		  1673
     122	    151		    525		     1		   847
     123	    803		    457		     1		  1739
     124	    971		    191		     2		  2315
     125	    687		    417		     4		  1159
     126	    512		    553		     2		  1328
     127	    893		    179		     2		  2389
     128	    339		    985		     2		  3160
     129	    108		    241		     2		   478
     130	    268		     98		     1		   166
     131	    317		    221		     3		   225
     132	    572		    203		     1		   813
     133	    621		    295		     4		  1177
     134	    881		    149		     1		  1397
     135	    163		    817		     3		  1362
     136	    879		    455		     3		  1799
     137	    801		    726		     1		  2682
     138	    504		    198		     1		   730
     139	    934		    920		     1		  3660
     140	     21		    730		     2		  1939
     141	      0		    689		     1		  1606
     142	     55		    848		     4		  2707
     143	    234		    477		     1		   962
     144	    475		    485		     1		   768
     145	    125		    170		     3		   326
     146	    169		    455		     1		   668
     147	    683		    933		     1		  2352
     148	    492		     28		     1		   727
     149	    466		    702		     2		  1459
     150	    280		    878		     2		  2131
     151	    529		    935		     3		  3096
     152	    844		    830		     3		  3086
     153	    249		    541		     1		  1331
     154	    139		    349		     1		   760
     155	    345		    668		     1		  1990
     156	    435		    492		     2		  1405
     157	    703		    608		     1		  2215
     158	    220		    590		     2		  1556
     159	    195		    547		     1		  1363
     160	     28		    660		     2		  1865
     161	    481		     59		     3		   619
     162	    216		    306		     2		   357
     163	    512		    498		     2		  1256
     164	     96		    824		     1		  1471
     165	    510		    533		     3		   903
     166	    829		    812		     1		  2013
     167	    867		    873		     1		  3459
     168	    784		    951		     3		  3494
     169	    690		    940		     3		  3208
     170	    220		    977		     1		  1999
     171	    776		    539		     5		  1454
     172	    723		    945		     4		  1858
     173	    399		    357		     1		   736
     174	    456		    434		     1		  1127
     175	    885		     12		     3		  1832
     176	     30		    459		     1		  1124
     177	    659		    795		     3		  1675
     178	    635		    270		     4		  1044
     179	    232		    431		     1		   711
     180	    520		    384		     3		   858
     181	    838		     24		     1		  1935
     182	    758		    862		     4		  2001
     183	    676		    791		     1		  1970
     184	    492		    942		     4		  1826
     185	    869		    445		     3		  1324
     186	     79		    773		     1		  2478
     187	    843		    368		     3		  1729
     188	     23		     54		     1		   645
     189	    727		    140		     3		   911
     190	     73		    940		     1		  1647
     191	    646		    802		     1		  1593
     192	    946		    370		     1		  1389
     193	    987		     63		     3		  2016
     194	    181		    970		     4		  2928
     195	    619		    314		     1		  1356
     196	    233		    651		     1		  1719
     197	    310		    285		     2		   464
     198	    440		    921		     2		  2937
     199	     84		    462		     2		   967
     200	    676		    392		     1		  1177
     201	    631		    446		     1		  1073
     202	    344		    805		     2		  1790
     203	    392		    406		     3		   952
     204	    973		    635		     1		  1923
     205	      0		    537		     3		  1208
     206	    973		    718		     2		  2318
     207	    741		    920		     3		  3509
     208	    889		    147		     2		  1365
     209	    806		    717		     1		  2405
     210	    762		    978		     2		  1924
     211	    217		     27		     3		   534
     212	    185		    282		     3		   428
     213	    456		    227		     1		   681
     214	    972		    759		     1		  2884
     215	    774		    283		     2		  1515
     216	     29		    157		     3		   580
     217	    110		    925		     1		  1789
     218	    427		    836		     2		  2645
     219	    334		    853		     1		  2376
     220	    695		    663		     1		  1427
     221	    216		    367		     1		   503
     222	    914		    966		     2		  2883
     223	    983		    421		     2		  1528
     224	    703		    575		     2		  2020
     225	     42		     81		     1		   744
     226	    574		    452		     1		  1587
     227	    651		    950		     1		  3315
     228	    699		    838		     1		  2264
     229	    257		    174		     2		    67
     230	    828		    842		     1		  2106
     231	    316		     34		     1		   342
     232	    391		    970		     1		  2466
     233	    725		    674		     5		  2407
     234	    120		     90		     1		   420
     235	    365		    235		     1		   254
     236	    494		    299		     1		   498
     237	    582		    323		     1		   985
     238	    266		    128		     3		   118
     239	    872		    740		     1		  2173
     240	    660		    518		     1		  1813
     241	    523		    459		     3		  1085
     242	    735		    841		     1		  2619
     243	    157		    997		     3		  2754
     244	    354		    180		     1		   260
     245	    425		    710		     1		  1602
     246	    236		    203		     1		   199
     247	    601		    696		     1		  1743
     248	    838		    611		     3		  2416
     249	    608		    357		     1		   913
     250	    829		    443		     1		  1985
     251	    954		     46		     2		  2704
     252	    831		    477		     2		  1379
     253	    977		    848		     1		  2027
     254	     61		    126		     1		   907
     255	    254		    595		     1		  1394
     256	    337		      5		     3		   589
     257	    832		    389		     1		  2357
     258	     15		    890		     3		  1548
     259	     85		    734		     1		  2366
     260	     17		    668		     1		  1200
     261	    650		    591		     3		  1377
     262	     42		     53		     3		   700
